,caseid,weight,biden_winner,legit_result,pres_vote,birthyr,age,age9,gender,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,ideo7,educ7,hispanic,ethnicity,votereg,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,wave
1,216250582,1.63710290851989,Probably the rightful winner,Entirely legitimate,,2000,20,18 - 24,Male,Never married,Temporarily laid off,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,32837,Florida,Somewhat conservative,High school diploma or the equivalent (GED),No,Asian/Pacific Islander,Don't know,Only now and then,Buddhist,A few times a year,Yes,Somewhat important,A few times a week,13
2,136408213,0.917087633993237,Definitely the rightful winner,Entirely legitimate,,1955,65,65 - 74,Male,Married,Retired,"$20,000 - $29,999",Independent,Independent,Did not vote for President,79072,Texas,Moderate; middle of the road,Some college,No,White,Don't know,Some of the time,Protestant,More than once a week,No,Very important,Several times a day,13
3,169603924,0.96575412735746,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1991,29,25 - 34,Male,Never married,Full-time,"$80,000 - $99,999",Republican,Strong Republican,Did not vote for President,14228,New York,Somewhat conservative,Bachelor's degree,No,White,Yes,Don't know,Nothing in particular,Don't know,No,Not at all important,Don't know,13
4,173191174,0.952010879862631,Probably not the rightful winner,Not legitimate at all,Donald Trump,1988,32,25 - 34,Female,Married,Homemaker,"$40,000 - $49,999",Republican,Not very strong Republican,Did not vote for President,76207,Texas,Slightly conservative,Associate's degree,No,White,Yes,Most of the time,Nothing in particular,Never,Yes,Somewhat important,Seldom,13
5,141422509,0.958480322816182,Definitely the rightful winner,Entirely legitimate,Joe Biden,1961,59,55 - 64,Female,Divorced,Part-time,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,32817,Florida,Somewhat liberal,Some college,No,Black or African American,Yes,Most of the time,Protestant,A few times a year,Yes,Very important,Several times a day,13
6,159251083,0.995679177114876,Definitely the rightful winner,Entirely legitimate,Joe Biden,1964,56,55 - 64,Male,Married,Full-time,"$100,000 - $119,999",Independent,Lean Democrat,Hillary Clinton,68131,Nebraska,Moderate; middle of the road,Some college,No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Seldom,13
7,41478334,0.853830665451112,Definitely the rightful winner,Entirely legitimate,Joe Biden,1971,49,45 - 54,Female,Married,Homemaker,"$150,000 - $199,999",Democrat,Strong Democrat,Hillary Clinton,64064,Missouri,Very liberal,Master's degree,No,White,Yes,Most of the time,Something else,Never,No,Not at all important,Never,13
8,219133399,0.764701157922805,Probably not the rightful winner,Not very legitimate,,1980,40,35 - 44,Female,Married,Unemployed,"$30,000 - $39,999",Not sure,Not sure,Did not vote for President,72501,Arkansas,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,No,Don't know,Protestant,A few times a year,Yes,Very important,Several times a day,13
9,36521863,1.07445208331095,Definitely not the rightful winner,Not very legitimate,Donald Trump,1954,66,65 - 74,Male,Married,Retired,"$100,000 - $119,999",Republican,Strong Republican,Donald Trump,11234,New York,Somewhat conservative,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Roman Catholic,Seldom,No,Somewhat important,Seldom,13
10,164894782,1.07755766359051,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1984,36,35 - 44,Female,Married,Homemaker,"$50,000 - $59,999",Republican,Not very strong Republican,Did not vote for President,49271,Michigan,Moderate; middle of the road,Bachelor's degree,No,White,Yes,Only now and then,Protestant,Seldom,Yes,Somewhat important,A few times a week,13
11,151594171,0.905790973329545,Definitely not the rightful winner,Not legitimate at all,,1962,58,55 - 64,Female,Divorced,Part-time,"$10,000 - $19,999",Not sure,Not sure,Did not vote for President,53214,Wisconsin,Somewhat liberal,High school diploma or the equivalent (GED),No,White,No,Hardly at all,Eastern or Greek Orthodox,Never,No,Not at all important,Never,13
12,163461070,1.05301904636555,Definitely the rightful winner,Entirely legitimate,Joe Biden,1989,31,25 - 34,Female,Married,Full-time,"$250,000 - $349,999",Democrat,Strong Democrat,Hillary Clinton,20009,District of Columbia,Very liberal,Professional or doctorate degree,No,White,Yes,Most of the time,Jewish,Seldom,No,Not too important,Seldom,13
13,52085926,0.901991481538691,Definitely the rightful winner,Entirely legitimate,Joe Biden,1946,74,65 - 74,Female,Widowed,Retired,"$80,000 - $99,999",Independent,Lean Democrat,Hillary Clinton,23666,Virginia,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Something else,Seldom,No,Very important,A few times a month,13
