caseid,weight,biden_winner,legit_result,pres_vote,birthyr,age,age9,gender,marstat,child18,employ,faminc_new,pid3,pid7,presvote16post,inputzip,inputstate,ideo7,educ7,hispanic,ethnicity,votereg,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,wave
166857586,1.18602386761188,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1973,47,45 - 54,Male,Married,Yes,Full-time,"$70,000 - $79,999",Independent,Lean Republican,Donald Trump,17815,Pennsylvania,Very conservative,Master's degree,No,White,Yes,Most of the time,Something else,Once a week,Yes,Somewhat important,A few times a week,14
191290336,0.920238476050003,Definitely the rightful winner,Not very legitimate,,1973,47,45 - 54,Female,Married,No,Full-time,"$20,000 - $29,999",Independent,Independent,Did not vote for President,76642,Texas,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Black or African American,No,Some of the time,Something else,Once a week,No,Very important,Several times a day,14
221487799,0.904341135133384,Definitely the rightful winner,Entirely legitimate,Joe Biden,1980,40,35 - 44,Female,Married,Yes,Full-time,"Less than $10,000",Democrat,Strong Democrat,Hillary Clinton,93905,California,Very conservative,High school diploma or the equivalent (GED),No,Hispanic/Latino/Chicano/a,Yes,Most of the time,Roman Catholic,Seldom,No,Somewhat important,Seldom,14
421681978,0.312504567022826,Definitely the rightful winner,Entirely legitimate,Joe Biden,1994,26,25 - 34,Male,Never married,No,Full-time,"$70,000 - $79,999",Democrat,Not very strong Democrat,Gary Johnson,91101,California,Somewhat liberal,Bachelor's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
311439934,1.51281651079576,Definitely the rightful winner,Entirely legitimate,,2001,19,18 - 24,Female,Never married,No,Student,Prefer not to say,Independent,Lean Democrat,Did not vote for President,78577,Texas,Moderate; middle of the road,Did not graduate from high school,Yes,Hispanic/Latino/Chicano/a,No,Only now and then,Protestant,Once a week,Yes,Very important,Several times a day,14
211166227,0.824874666236966,Definitely the rightful winner,Entirely legitimate,Joe Biden,1964,56,55 - 64,Female,Married,No,Part-time,"$10,000 - $19,999",Democrat,Strong Democrat,Hillary Clinton,43356,Ohio,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Something else,Seldom,No,Very important,A few times a week,14
120311536,0.865942637964102,Definitely the rightful winner,Entirely legitimate,Joe Biden,1944,76,75 - 84,Male,Divorced,No,Retired,"$120,000 - $149,999",Democrat,Strong Democrat,Hillary Clinton,95354,California,Somewhat liberal,Some college,No,White,Yes,Some of the time,Protestant,Seldom,No,Not too important,A few times a month,14
222921184,0.799358479272421,Definitely the rightful winner,Entirely legitimate,Joe Biden,1991,29,25 - 34,Female,Never married,No,Unemployed,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,17603,Pennsylvania,Very liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Nothing in particular,Never,No,Not at all important,Never,14
56994631,1.13860117856288,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1956,64,55 - 64,Female,Married,Yes,Retired,"$80,000 - $99,999",Independent,Lean Republican,Donald Trump,45157,Ohio,Very conservative,High school diploma or the equivalent (GED),No,White,Yes,Hardly at all,Roman Catholic,Once a week,No,Very important,Once a day,14
205054828,1.35420267541791,Definitely the rightful winner,Entirely legitimate,Donald Trump,1994,26,25 - 34,Male,Never married,No,Full-time,"$150,000 - $199,999",Republican,Not very strong Republican,Donald Trump,66062,Kansas,Somewhat conservative,Professional or doctorate degree,No,White,Yes,Most of the time,Protestant,Once a week,No,Somewhat important,Once a week,14
214454374,1.01861494826463,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1965,55,55 - 64,Male,Never married,No,Retired,"$50,000 - $59,999",Republican,Not very strong Republican,Donald Trump,94536,California,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Hardly at all,Roman Catholic,Never,No,Somewhat important,A few times a week,14
36602848,0.791064407475517,Definitely the rightful winner,Entirely legitimate,Joe Biden,1929,91,85 or older,Female,Married,No,Retired,"$30,000 - $39,999",Democrat,Not very strong Democrat,Hillary Clinton,50158,Iowa,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Once a week,No,Somewhat important,Several times a day,14
144573148,0.776585137674684,Probably the rightful winner,Somewhat legitimate,,1969,51,45 - 54,Female,Divorced,No,Full-time,"$30,000 - $39,999",Independent,Independent,Did not vote for President,16671,Pennsylvania,Somewhat conservative,High school diploma or the equivalent (GED),No,White,No,Only now and then,Protestant,Seldom,Yes,Somewhat important,Several times a day,14
357637300,0.77172561569316,Definitely the rightful winner,Not very legitimate,,2002,18,18 - 24,Male,Never married,No,Student,"$10,000 - $19,999",Democrat,Strong Democrat,Did not vote for President,77095,Texas,Moderate; middle of the road,Associate's degree,Yes,Multi-racial,No,Most of the time,Nothing in particular,Once or twice a month,No,Somewhat important,Once a day,14
133197892,1.00353914073868,Definitely not the rightful winner,Somewhat legitimate,Donald Trump,1942,78,75 - 84,Male,Married,No,Retired,"$40,000 - $49,999",Democrat,Not very strong Democrat,Donald Trump,80226,Colorado,Slightly liberal,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
207204178,0.750389437699369,Definitely not the rightful winner,Somewhat legitimate,,1999,21,18 - 24,Female,Never married,No,Student,"$70,000 - $79,999",Republican,Not very strong Republican,Did not vote for President,46526,Indiana,Slightly liberal,Associate's degree,No,White,No,Only now and then,Protestant,Once a week,Yes,Very important,Several times a day,14
211463938,1.02232038788505,Definitely the rightful winner,Entirely legitimate,Joe Biden,1962,58,55 - 64,Male,Married,Yes,Retired,"$250,000 - $349,999",Independent,Lean Democrat,Hillary Clinton,33704,Florida,Moderate; middle of the road,Associate's degree,No,White,Yes,Most of the time,Atheist,Never,No,Not at all important,Never,14
204582319,0.438173853127808,Definitely the rightful winner,Entirely legitimate,Joe Biden,1957,63,55 - 64,Male,Married,No,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Hillary Clinton,20166,Virginia,Moderate; middle of the road,Professional or doctorate degree,No,Black or African American,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,14
150031798,0.784551128504098,Probably the rightful winner,Somewhat legitimate,,1993,27,25 - 34,Female,Married,Yes,Homemaker,"$30,000 - $39,999",Independent,Independent,Did not vote for President,54201,Wisconsin,Moderate; middle of the road,High school diploma or the equivalent (GED),No,White,No,Hardly at all,Roman Catholic,Never,No,Somewhat important,Never,14
198843523,0.738364006221512,Definitely the rightful winner,Entirely legitimate,Joe Biden,1994,26,25 - 34,Female,Domestic / civil partnership,No,Other,Prefer not to say,Democrat,Strong Democrat,Did not vote for President,33823,Florida,Very liberal,High school diploma or the equivalent (GED),No,White,Yes,Some of the time,Nothing in particular,Never,No,Not at all important,Never,14
59595313,0.899573945463115,Probably the rightful winner,Somewhat legitimate,Joe Biden,1951,69,65 - 74,Male,Married,No,Retired,"$30,000 - $39,999",Democrat,Strong Democrat,Hillary Clinton,89147,Nevada,Moderate; middle of the road,Did not graduate from high school,No,White,Yes,Only now and then,Roman Catholic,Never,No,Not too important,Once a week,14
312843838,0.857010221777445,Definitely the rightful winner,Entirely legitimate,Joe Biden,1994,26,25 - 34,Male,Never married,No,Full-time,"$50,000 - $59,999",Democrat,Strong Democrat,Hillary Clinton,55306,Minnesota,Very liberal,Bachelor's degree,No,White,Yes,Most of the time,Agnostic,Seldom,No,Not at all important,Never,14
140883541,0.803040038184386,Probably the rightful winner,Not very legitimate,,1968,52,45 - 54,Male,Never married,No,Unemployed,"Less than $10,000",Independent,Independent,Did not vote for President,43452,Ohio,Moderate; middle of the road,Did not graduate from high school,No,White,Yes,Some of the time,Roman Catholic,Never,No,Not at all important,Never,14
35144917,0.620512264881574,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1984,36,35 - 44,Female,Never married,No,Other,"$70,000 - $79,999",Independent,Lean Republican,Donald Trump,92570,California,Very conservative,Associate's degree,Yes,Hispanic/Latino/Chicano/a,Yes,Most of the time,Protestant,Once a week,Yes,Somewhat important,A few times a week,14
205443109,0.77107068089363,Definitely the rightful winner,Entirely legitimate,Joe Biden,1979,41,35 - 44,Male,Never married,Yes,Full-time,"Less than $10,000",Democrat,Strong Democrat,Hillary Clinton,55437,Minnesota,Very liberal,Associate's degree,No,White,Yes,Some of the time,Agnostic,Never,No,Not at all important,Never,14
195865522,1.50680583059354,Probably the rightful winner,Somewhat legitimate,,1998,22,18 - 24,Male,Never married,No,Full-time,"$20,000 - $29,999",Independent,Lean Democrat,Did not vote for President,38967,Mississippi,Moderate; middle of the road,High school diploma or the equivalent (GED),No,Black or African American,Yes,Only now and then,Nothing in particular,A few times a year,Yes,Very important,Don't know,14
50973028,1.47112386731172,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1959,61,55 - 64,Male,Divorced,No,Full-time,"$30,000 - $39,999",Independent,Lean Republican,Donald Trump,26003,West Virginia,Somewhat conservative,Some college,No,White,Yes,Most of the time,Something else,Once a week,Yes,Very important,Several times a day,14
180978121,0.592560157498093,Probably the rightful winner,Somewhat legitimate,Joe Biden,1951,69,65 - 74,Male,Married,No,Retired,"$20,000 - $29,999",Democrat,Strong Democrat,Did not vote for President,2840,Rhode Island,Slightly conservative,High school diploma or the equivalent (GED),No,Black or African American,Yes,Only now and then,Buddhist,Once a week,Yes,Very important,Several times a day,14
392075248,0.343013715567417,Definitely the rightful winner,Somewhat legitimate,,1983,37,35 - 44,Female,Married,Yes,Full-time,"$200,000 - $249,999",Democrat,Strong Democrat,Gary Johnson,70119,Louisiana,Slightly conservative,High school diploma or the equivalent (GED),No,White,Yes,Most of the time,Roman Catholic,Once a week,Yes,Very important,Never,14
169659157,0.530979046148414,Definitely the rightful winner,Entirely legitimate,Joe Biden,1955,65,65 - 74,Male,Married,No,Full-time,"$60,000 - $69,999",Independent,Lean Democrat,Did not vote for President,30032,Georgia,Slightly liberal,High school diploma or the equivalent (GED),No,Black or African American,Yes,Most of the time,Protestant,More than once a week,Yes,Very important,Several times a day,14
53057476,1.34473664242842,Definitely not the rightful winner,Not legitimate at all,Donald Trump,1948,72,65 - 74,Female,Married,No,Retired,"$30,000 - $39,999",Republican,Strong Republican,Donald Trump,74017,Oklahoma,Very conservative,Associate's degree,No,American Indian or Alaska Native,Yes,Most of the time,Something else,Once a week,Yes,Very important,Several times a day,14
140921065,1.02127477164766,Probably not the rightful winner,Not very legitimate,Donald Trump,1958,62,55 - 64,Female,Married,No,Part-time,"$100,000 - $119,999",Independent,Independent,Donald Trump,55124,Minnesota,Moderate; middle of the road,Bachelor's degree,No,Hispanic/Latino/Chicano/a,Yes,Some of the time,Protestant,Never,No,Very important,Several times a day,14
